index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
														
1.1	राजानम्	1	राजानम्	राजन्{पुं;2;एक}	राजन्{पुं;2;एक}	कर्म,5.1	कर्म,5.1	N2	राजा_को					
2.1	अनुवर्तन्तम्		अनुवर्तन्तम्	अनुवर्तत्{पुं;2;एक(वृत्3;शतृ_लट्;वृतुँ;:चुरादिः)}	अनुवर्तत्{पुं;2;एक(वृत्3;शतृ_लट्;वृतुँ;:चुरादिः)}	विशेषणम्,1.1	विशेषणम्,1.1	N2	बोलता_हुआ					
3.1	धर्म-	2	धर्म-पुत्रम्	धर्म	धर्म	T6,3.2	T6,3.2	CP	धर्म-पुत्र_को					
3.2	पुत्रम्			पुत्र{पुं;2;एक}/पुत्र{नपुं;1;एक}/पुत्र{नपुं;2;एक}	पुत्र{पुं;2;एक}	विशेषणम्,1.1	विशेषणम्,1.1	N2						
4.1	महा-	3	महा-मतिम्	महा	महा	Bs6,4.2	Bs6,4.2	CP	गाय-मति_को					
4.2	मतिम्			मति{स्त्री;2;एक}/मति{पुं;2;एक}	मति{स्त्री;2;एक}	विशेषणम्,1.1	विशेषणम्,1.1	N2						
5.1	अन्ववर्तत	4	अन्ववर्तत	अनु_वृत्1{कर्तरि;लङ्;प्र;एक;आत्मनेपदी;वृतुँ;:भ्वादिः}	अनु_वृत्1{कर्तरि;लङ्;प्र;एक;आत्मनेपदी;वृतुँ;:भ्वादिः}	अभिहित_कर्ता,6.1;सकर्मक	अभिहित_कर्ता,6.1;सकर्मक	KP	आरम्भ_किया					
6.1	कौरव्यः	5	कौरव्यो	कौरव्य{पुं;1;एक}	कौरव्य{पुं;1;एक}	कर्ता,5.1	कर्ता,5.1	N1	कौरव्य					
7.1	हृदयेन	6	हृदयेन	हृदय{नपुं;3;एक}	हृदय{नपुं;3;एक}	सहार्थः,5.1	सहार्थः,5.1	N3	हृदय_से					
8.1	पराङ्मुखः	7	पराङ्मुखः	पराङ्मुख{पुं;1;एक}	पराङ्मुख{पुं;1;एक}	विशेषणम्,6.1	विशेषणम्,6.1	N1	प्राङ्-मुख					
9.1	.	.	-	-	-	-	-	-	-					
