index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
														
1.1	पुत्र	10	पुत्र	पुत्र{पुं;8;एक}	पुत्र{पुं;8;एक}	सम्बोध्यः,5.1	सम्बोध्यः,5.1	N8	पुत्र					
2.1	श्राद्धानि	3	श्राद्धानि	श्राद्ध{नपुं;1;बहु}/श्राद्ध{नपुं;2;बहु}/श्राद्ध{नपुं;8;बहु}	श्राद्ध{नपुं;2;बहु}	समुच्चितः,3.1	समुच्चितः,3.1	N2	श्राद्ध					
3.1	महा-दान	1	महा-दान	महा	महा	समासः,3.2	समासः,3.2	CP	गाय-दान					
3.2	दान			दान{नपुं;1;बहु}/दान{नपुं;2;बहु}	दान{नपुं;2;बहु}	कर्म,5.1	कर्म,5.1	N2						
4.1	च	4	च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,3.1	समुच्चय_द्योतकः,3.1	NA	और					
5.1	दत्तानि	2	दत्तानि	दत्त{नपुं;1;बहु(दा3;क्त;डुदाञ्;:जुहोत्यादिः)}/दत्त{नपुं;2;बहु(दा3;क्त;डुदाञ्;:जुहोत्यादिः)}/दत्त{नपुं;1;बहु(दो1;क्त;दो;:दिवादिः)}/दत्त{नपुं;2;बहु(दो1;क्त;दो;:दिवादिः)}/दत्त{नपुं;1;बहु(दा1;क्त;दाण्;:भ्वादिः)}/दत्त{नपुं;2;बहु(दा1;क्त;दाण्;:भ्वादिः)}/दत्त{नपुं;1;बहु(दे1;क्त;देङ्;:भ्वादिः)}/दत्त{नपुं;2;बहु(दे1;क्त;देङ्;:भ्वादिः)}	दत्त{नपुं;1;बहु(दा3;क्त;डुदाञ्;:जुहोत्यादिः)}	अभिहित_कर्म,2.1	अभिहित_कर्म,2.1	KP	मेरा					
6.1	पुनः	5	पुनः		पुनः{अव्य}	क्रियाविशेषणम्,5.1	क्रियाविशेषणम्,5.1	NA						
7.1	पुनः	6	पुनः		पुनः{अव्य}	वीप्सा,6.1	वीप्सा,6.1	NA						
8.1	मे	8	मे	अस्मद्{सर्वनाम;6;एक}/अस्मद्{सर्वनाम;4;एक}	अस्मद्{सर्वनाम;6;एक}	षष्ठीसम्बन्धः,11.1	षष्ठीसम्बन्धः,11.1	N6						
9.1	वयः(यया)	9	वयः	वयस्{नपुं;1;एक}/वयस्{नपुं;2;एक}/वयस्{नपुं;8;एक}	यद्{सर्वनाम;स्त्री;3एक}	कर्ता,12.1	कर्ता,12.1	N3	यथा-बल_को					
10.1	यथाबलम्	13	यथाबलम्	यथाबल{पुं;2;एक}/बल{नपुं;1;एक}/बल{नपुं;2;एक}	यथाबल{पुं;2;एक}	क्रियाविशेषणम्,12.1	क्रियाविशेषणम्,12.1	N2	पुण्य					
11.1	पुण्यम्	11	पुण्यम्	पुण्य{नपुं;1;एक}/पुण्य{नपुं;2;एक}	पुण्य{नपुं;1;एक}	कर्म,12.1	कर्म,12.1	N1	चीर्ण_को					
12.1	चीर्णम्	12	चीर्णम्	चीर्ण{पुं;2;एक}/चीर्ण{नपुं;1;एक}/चीर्ण{नपुं;2;एक}	चीर्ण{नपुं;1;एक(चर्1;नक्;क्त;चरँ;:भ्वादिः)}	अभिहित_कर्म,11.1	अभिहित_कर्म,11.1	N1						
13.1	प्रकृष्टम्	7	प्रकृष्टम्	प्रकृष्ट{पुं;2;एक(कृष्2;क्त;कृषँ;:तुदादिः)}/प्रकृष्ट{नपुं;1;एक(कृष्2;क्त;कृषँ;:तुदादिः)}/प्रकृष्ट{नपुं;2;एक(कृष्2;क्त;कृषँ;:तुदादिः)}	प्रकृष्ट{पुं;1;एक(कृष्2;क्त;कृषँ;:तुदादिः)}	विशेषणम्,11.1	विशेषणम्,11.1	N1						
14.1	.	.	-	-	-	-	-	FS	-					
