index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning
1	पाण्डवाः	1	पाण्डवाः	पाण्डव{पुं;1;बहु}/पाण्डव{पुं;8;बहु}	पाण्डव{पुं;1;बहु}	कर्ता,3	कर्ता,3	N1	पाण्डव	
2	सर्वकार्याणि	2	सर्वकार्याणि	सर्व-कार्य{नपुं;8;बहु}/कार्य{नपुं;1;बहु}/कार्य{नपुं;2;बहु}	सर्व-कार्य{नपुं;2;बहु}	कर्म,3;कर्म,7	कर्म,3;कर्म,7	N2	सब-कार्य	
3	सम्पृच्छन्ति	3	सम्पृच्छन्ति	सम्_प्रछ्1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;प्रछँ;:तुदादिः}	सम्_प्रछ्1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;प्रछँ;:तुदादिः}	अभिहित_कर्ता,1;सकर्मक	अभिहित_कर्ता,1;सकर्मक	KP	सम्_प्रछ्1_प्प्_स्क्ते_हैं	
4	स्म	4	स्म	स्म{अव्य}	स्म{अव्य}	सम्बन्धः,3	सम्बन्धः,3	NA	-	
5	तं	5	तं	तद्{सर्वनाम;पुं;2;एक}	तद्{सर्वनाम;पुं;2;एक}	विशेषणम्,6	विशेषणम्,6	N2	उसको	
6	नृपं	6	नृपं	नृप{पुं;2;एक}	नृप{पुं;2;एक}	कर्म,3	कर्म,3	N2	राजा_को	
7	चक्रुः	7	चक्रुस्तेनाभ्यनुज्ञाता	कृ1{कर्तरि;लिट्;प्र;बहु;परस्मैपदी;कृञ्;:भ्वादिः}/कृ2{कर्तरि;लिट्;प्र;बहु;परस्मैपदी;कृञ्;:स्वादिः}/कृ3{कर्तरि;लिट्;प्र;बहु;परस्मैपदी;डुकृञ्;:तनादिः}	कृ1{कर्तरि;लिट्;प्र;बहु;परस्मैपदी;कृञ्;:भ्वादिः}	अभिहित_कर्ता,13.1;सकर्मक	अभिहित_कर्ता,13.1;सकर्मक	KP	किये	
8	तेन			तद्{सर्वनाम;पुं;3;एक}/तद्{सर्वनाम;नपुं;3;एक}/तन्1{कर्तरि;लिट्;म;बहु;परस्मैपदी;तनुँ;:तनादिः}	तद्{सर्वनाम;पुं;3;एक}	कर्ता,9	कर्ता,9	N3	उससे	
9	अभ्यनुज्ञाताः			अनुज्ञा{तल्;स्त्री;1;एक}/अनुज्ञातृ{पुं;1;एक(ज्ञा1;तृच्;ज्ञा;:क्र्यादिः)}/अनुज्ञाता{स्त्री;1;एक(ज्ञा1;क्त;ज्ञा;:क्र्यादिः)}	अभि_अनुज्ञात{पुं;1;बहु}	विशेषणम्,13.1	विशेषणम्,13.1	N1		
10	वर्षाणि	8	वर्षाणि	वृष्1{कर्तरि;लोट्;उ;एक;परस्मैपदी;वृषुँ;:भ्वादिः}/वि_ऋष्1{कर्तरि;लोट्;उ;एक;परस्मैपदी;ऋषीँ;:तुदादिः}/	वर्ष{नपुं;2;बहु}	कालाधिकरणम्,7	कालाधिकरणम्,7	N2	वरसूँ	
11	दश	9	दश	दशन्{संख्येयम्;1;बहु}/दशन्{संख्येयम्;2;बहु}/दन्श्1{कर्तरि;लोट्;म;एक;परस्मैपदी;दन्शँ;:भ्वादिः}	दशन्{संख्येयम्;2;बहु}	समुच्चितः,12	समुच्चितः,12	N2	दश	
12	पञ्च	10	पञ्च	पञ्चन्{संख्येयम्;1;बहु}/पञ्चन्{संख्येयम्;2;बहु}/पच्3{कर्तरि;लोट्;म;एक;परस्मैपदी;पचिँ;:चुरादिः}	पञ्चन्{संख्येयम्;2;बहु}	विशेषणम्,10	विशेषणम्,10	N2	पञ्चन्_अ	
13	च	11	च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,12	समुच्चय_द्योतकः,12	NA	और	
13.1	(पाण्डवाः)			पाण्डव{पुं;1;बहु}/पाण्डव{पुं;8;बहु}	पाण्डव{पुं;1;बहु}	कर्ता,7	कर्ता,7	N1	पाण्डव	
14	.	.	-	-	-	-	-	FS	-	
