index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
														
1.1	शयनानि	1	शयनानि	शयन{नपुं;1;बहु}/शयन{नपुं;2;बहु}/शयन{नपुं;1;बहु(शी1;ल्युट्;शीङ्;:अदादिः)}/शयन{नपुं;2;बहु(शी1;ल्युट्;शीङ्;:अदादिः)}/शयन{नपुं;1;बहु(शि1;ल्युट्;शिञ्;:स्वादिः)}/शयन{नपुं;2;बहु(शि1;ल्युट्;शिञ्;:स्वादिः)}	शयन{नपुं;2;बहु}	समुच्चितः,9.2	समुच्चितः,9.2	N2	सोने					
2.1	महार्हाणि	2	महार्हाणि	महार्ह{नपुं;1;बहु}/महार्ह{नपुं;2;बहु}	महार्ह{नपुं;2;बहु}	विशेषणम्,1.1;विशेषणम्,3.1;विशेषणम्,4.1	विशेषणम्,1.1;विशेषणम्,3.1;विशेषणम्,4.1	N2	अतिमूल्यवान्					
3.1	वासांसि	3	वासांसि	वासस्{नपुं;1;बहु}/वासस्{नपुं;2;बहु}/वासस्{नपुं;8;बहु}	वासस्{नपुं;2;बहु}	समुच्चितः,9.2	समुच्चितः,9.2	N2	वस्त्र					
4.1	आभरणानि		आभरणानि	आभरण{नपुं;1;बहु}/आभरण{नपुं;2;बहु}	आभरण{नपुं;2;बहु}	समुच्चितः,9.2	समुच्चितः,9.2	N2	आभरण					
5.1	च	4	च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,9.2	समुच्चय_द्योतकः,9.2	NA	और					
6.1	राजार्हाणि	5	राजार्हाणि	राजार्ह{नपुं;1;बहु}/राजार्ह{नपुं;2;बहु}	राजार्ह{नपुं;2;बहु}	विशेषणम्,9.2	विशेषणम्,9.2	N2	अगर_की_लकड्ऽई					
7.1	च	6	च	च{अव्य}	च{अव्य}	सम्बन्धः,4.1	सम्बन्धः,4.1	NA	और					
8.1	सर्वाणि	7	सर्वाणि	सर्व{सर्वनाम;नपुं;1;बहु}/सर्व{सर्वनाम;नपुं;2;बहु}/षर्व्1{कर्तरि;लोट्;उ;एक;परस्मैपदी;षर्वँ;:भ्वादिः}/सर्वाणी{स्त्री;8;एक}	सर्व{सर्वनाम;नपुं;2;बहु}	विशेषणम्,6.1	विशेषणम्,6.1	N2	सब					
9.1	भक्ष्य-	8	भक्ष्य-भोज्यानि	भक्ष्य	भक्ष्य	Di,9.2	Di,9.2	CP						
9.2	भोज्यानि			भोज्य;नपुं;8;बहु}/भोज्य{नपुं;1;बहु(भुज्2;ण्यत्;भुजँ;:रुधादिः)}/भोज्य{नपुं;2;बहु(भुज्2;ण्यत्;भुजँ;:रुधादिः)}/भोज्य{नपुं;1;बहु(भुज्1;यत्;भुजोँ;:तुदादिः)}	{भोज्य;नपुं;2;बहु}	कर्म,14.1	कर्म,14.1	N2						
10.1	अनेकशः		अनेकशः	अनेकशः{अव्य}	अनेकशः{अव्य}	क्रियाविशेषणम्,14.1	क्रियाविशेषणम्,14.1	NA	अनेकशः					
11.1	युधिष्ठिरः	9	युधिष्ठिरो	युधिष्ठिर{पुं;1;एक}	युधिष्ठिर{पुं;1;एक}	कर्ता,14.1	कर्ता,14.1	N1	युधिष्ठिर					
12.1	महाराजः	10	महाराज	महाराज{पुं;8;एक}	महाराज{पुं;1;एक}	विशेषणम्,11.1	विशेषणम्,11.1	N1	महाराज					
13.1	धृतराष्ट्रे	 	धृतराष्ट्रे	धृतराष्ट्र{पुं;7;एक}	धृतराष्ट्र{पुं;7;एक}	अधिकरणम्,14.1	अधिकरणम्,14.1	N7	धृतराष्ट्र_में					
14.1	अभ्युपाहरत्		अभ्युपाहरत्	उप_हृ1{कर्तरि;लङ्;प्र;एक;परस्मैपदी;हृञ्;:भ्वादिः}/उप_आङ्_हृ1कर्तरि;लङ्;प्र;एक;परस्मैपदी;हृञ्;:भ्वादिः}/उपाहरत्नपुं;1;एक(हृ1;शतृ_लट्;हृञ्;:भ्वादिः)}/उपाहरत्नपुं;2;एक(हृ1;शतृ_लट्;हृञ्;:भ्वादिः)}	अभि_उप_आङ्_हृ1{कर्तरि;लङ्;प्र;एक;परस्मैपदी;हृञ्;:भ्वादिः}	अभिहित_कर्ता,11.1;सकर्मक	अभिहित_कर्ता,11.1;सकर्मक	KP	भेंट_दिया					
15.1	.	.	-	-	-	-	-	FS	-					
